method,config,data_seed,init_seed,val_rmse,val_rel_err,val_mse,has_uncertainty,runtime_s
NODE (Adam MSE),iters=6500,42,42,0.28106393313260175,0.09856566392610185,0.07899693450796762,false,985.520433208
"BNODE (MAP→HMC, posterior mean)","MAP=6000/500, NUTS=50/50, max_depth=6, tol=1.0e-6",42,42,0.32552550951434744,0.11415779183246082,0.1059668573445755,true,584.407123917
NODE (Adam MSE),iters=6500,7,7,0.2892231486587146,0.10132069092314441,0.08365002972006094,false,1220.770274625
"BNODE (MAP→HMC, posterior mean)","MAP=6000/500, NUTS=50/50, max_depth=6, tol=1.0e-6",7,7,0.39699793697092267,0.13907636873292442,0.1576073619591687,true,561.430725458
NODE (Adam MSE),iters=6500,13,13,0.7742947031869208,0.27125563434744315,0.5995322873833218,false,1107.393058791
"BNODE (MAP→HMC, posterior mean)","MAP=6000/500, NUTS=50/50, max_depth=6, tol=1.0e-6",13,13,0.743033070928075,0.2603038690128654,0.5520981444928058,true,547.81246
NODE (Adam MSE),iters=6500,99,99,0.3594713017366567,0.12566277810689738,0.1292196167722465,false,1116.694521958
"BNODE (MAP→HMC, posterior mean)","MAP=6000/500, NUTS=50/50, max_depth=6, tol=1.0e-6",99,99,0.3687421441762144,0.1289036482701562,0.13597076889167212,true,474.243275416
NODE (Adam MSE),iters=6500,314,314,0.6670519236619713,0.23237709711931062,0.44495826886113643,false,1027.710387834
"BNODE (MAP→HMC, posterior mean)","MAP=6000/500, NUTS=50/50, max_depth=6, tol=1.0e-6",314,314,2.094523990514372,0.7296574486893009,4.3870307468402485,true,509.473155041
NODE (Adam MSE),iters=6500,314,314,0.6670519236619713,0.23237709711931062,0.44495826886113643,false,943.282890875
"BNODE (MAP→HMC, posterior mean)","MAP=6000/500, NUTS=50/50, max_depth=6, tol=1.0e-6",314,314,0.639854089093841,0.2229023416757207,0.40941325533010897,true,572.445965833
NODE (Adam MSE),iters=6500,42,42,0.28106393313260175,0.09856566392610185,0.07899693450796762,false,1027.480038291
"BNODE (MAP→HMC, posterior mean)","MAP=6000/500, NUTS=250/250, max_depth=8, tol=1.0e-6",42,42,0.602006355007026,0.21111622330071675,0.3624116514688454,true,13044.123257292
